Entity,Code,Year,Hydropower (Terawatt-hours)
Africa,,1965,14.278805574733003
Africa,,1966,15.649048937511
Africa,,1967,16.158332959103998
Africa,,1968,18.622982764834003
Africa,,1969,21.582896820817
Africa,,1970,27.076287015552
Africa,,1971,25.836605304094004
Africa,,1972,29.836878415376
Africa,,1973,29.803741951533002
Africa,,1974,35.089185489357014
Africa,,1975,36.87904837115801
Africa,,1976,40.861179239816025
Africa,,1977,45.083351122531006
Africa,,1978,46.08507934057501
Africa,,1979,47.28020678387999
Africa,,1980,46.0301705558753
Africa,,1981,48.37744646187052
Africa,,1982,48.63271473477219
Africa,,1983,45.5089146618705
Africa,,1984,45.12596031942445
Africa,,1985,48.126391051958436
Africa,,1986,51.031881901358915
Africa,,1987,48.35233630842446
Africa,,1988,52.38957275713989
Africa,,1989,55.791350767127106
Africa,,1990,57.730296923237994
Africa,,1991,60.70288481276198
Africa,,1992,58.41492326942424
Africa,,1993,57.3304031569076
Africa,,1994,58.0540989657866
Africa,,1995,61.85884097562625
Africa,,1996,63.22384351887144
Africa,,1997,64.65638458851953
Africa,,1998,68.17047554001691
Africa,,1999,71.8676586126517
Africa,,2000,74.70620373158603
Africa,,2001,80.91176207108246
Africa,,2002,82.94512330883522
Africa,,2003,81.10014890029548
Africa,,2004,87.43446635242678
Africa,,2005,89.3045544516506
Africa,,2006,96.57064358275115
Africa,,2007,94.64260312334322
Africa,,2008,96.72956337834336
Africa,,2009,98.43312123482767
Africa,,2010,108.0390669182357
Africa,,2011,104.93295855479903
Africa,,2012,112.8685075361636
Africa,,2013,118.24138567572416
Africa,,2014,123.65310514656319
Africa,,2015,118.89910102025837
Africa,,2016,114.12652319500357
Algeria,DZA,1965,0.3933266
Algeria,DZA,1966,0.3623908
Algeria,DZA,1967,0.4065848
Algeria,DZA,1968,0.5568444
Algeria,DZA,1969,0.3623908
Algeria,DZA,1970,0.5833608
Algeria,DZA,1971,0.3270356
Algeria,DZA,1972,0.4993922
Algeria,DZA,1973,0.7557174
Algeria,DZA,1974,0.4993922
Algeria,DZA,1975,0.3270356
Algeria,DZA,1976,0.3844878
Algeria,DZA,1977,0.2695834
Algeria,DZA,1978,0.2563252
Algeria,DZA,1979,0.2916804
Algeria,DZA,1980,0.2563252
Algeria,DZA,1981,0.3623908
Algeria,DZA,1982,0.4772952
Algeria,DZA,1983,0.2342282
Algeria,DZA,1984,0.4551982
Algeria,DZA,1985,0.6496518
Algeria,DZA,1986,0.2563252
Algeria,DZA,1987,0.4993922
Algeria,DZA,1988,0.1856148
Algeria,DZA,1989,0.2695834
Algeria,DZA,1990,0.1370014
Algeria,DZA,1991,0.2916804
Algeria,DZA,1992,0.198873
Algeria,DZA,1993,0.353552
Algeria,DZA,1994,0.1679372
Algeria,DZA,1995,0.1944536
Algeria,DZA,1996,0.1370014
Algeria,DZA,1997,0.0751298
Algeria,DZA,1998,0.2165506
Algeria,DZA,1999,0.2032924
Algeria,DZA,2000,0.0530328
Algeria,DZA,2001,0.0707104
Algeria,DZA,2002,0.0574522
Algeria,DZA,2003,0.265164
Algeria,DZA,2004,0.2519058
Algeria,DZA,2005,0.5552999999999999
Algeria,DZA,2006,0.2176
Algeria,DZA,2007,0.226
Algeria,DZA,2008,0.283
Algeria,DZA,2009,0.342
Algeria,DZA,2010,0.173
Algeria,DZA,2011,0.378
Algeria,DZA,2012,0.389
Algeria,DZA,2013,0.099
Algeria,DZA,2014,0.193
Algeria,DZA,2015,0.145
Algeria,DZA,2016,0.072
Argentina,ARG,1965,1.2109156
Argentina,ARG,1966,1.2285932
Argentina,ARG,1967,1.2551096
Argentina,ARG,1968,1.480499
Argentina,ARG,1969,1.32582
Argentina,ARG,1970,1.5158542
Argentina,ARG,1971,1.524693
Argentina,ARG,1972,1.4849184
Argentina,ARG,1973,2.960998
Argentina,ARG,1974,4.971825
Argentina,ARG,1975,5.1353428
Argentina,ARG,1976,4.9408892
Argentina,ARG,1977,5.7054454
Argentina,ARG,1978,7.6632396
Argentina,ARG,1979,10.5358496
Argentina,ARG,1980,14.9729272
Argentina,ARG,1981,14.5000514
Argentina,ARG,1982,17.4964046
Argentina,ARG,1983,18.207928
Argentina,ARG,1984,19.6486524
Argentina,ARG,1985,20.6562756
Argentina,ARG,1986,21.0275052
Argentina,ARG,1987,21.8892882
Argentina,ARG,1988,15.8037744
Argentina,ARG,1989,13.3289104
Argentina,ARG,1990,18.1681534
Argentina,ARG,1991,16.4313292
Argentina,ARG,1992,20.005050505050267
Argentina,ARG,1993,23.84747474747446
Argentina,ARG,1994,28.278787878787526
Argentina,ARG,1995,28.612121212120858
Argentina,ARG,1996,26.018181818181517
Argentina,ARG,1997,33.195959595959195
Argentina,ARG,1998,32.57878787878748
Argentina,ARG,1999,26.807070707070398
Argentina,ARG,2000,34.10101010100971
Argentina,ARG,2001,41.92626262626211
Argentina,ARG,2002,41.50505050504999
Argentina,ARG,2003,39.10808080808034
Argentina,ARG,2004,35.487878787878365
Argentina,ARG,2005,39.609090909090455
Argentina,ARG,2006,43.831
Argentina,ARG,2007,38.081
Argentina,ARG,2008,37.522
Argentina,ARG,2009,41.212
Argentina,ARG,2010,40.874
Argentina,ARG,2011,39.978
Argentina,ARG,2012,37.307
Argentina,ARG,2013,41.089
Argentina,ARG,2014,41.298
Argentina,ARG,2015,42.2609
Argentina,ARG,2016,38.3728972
Asia Pacific,,1965,150.55759628909578
Asia Pacific,,1966,163.38778128909578
Asia Pacific,,1967,154.02279748909578
Asia Pacific,,1968,164.44686208909576
Asia Pacific,,1969,175.38332128909576
Asia Pacific,,1970,179.11867208909578
Asia Pacific,,1971,194.69191188909576
Asia Pacific,,1972,203.60902248909576
Asia Pacific,,1973,197.17903228909577
Asia Pacific,,1974,215.16336417798448
Asia Pacific,,1975,229.4817130565862
Asia Pacific,,1976,232.71207419193976
Asia Pacific,,1977,225.82364731315187
Asia Pacific,,1978,235.11674245254585
Asia Pacific,,1979,255.17275374346073
Asia Pacific,,1980,271.6225906053111
Asia Pacific,,1981,288.8969017459492
Asia Pacific,,1982,279.79908498417916
Asia Pacific,,1983,300.64712748643353
Asia Pacific,,1984,297.1641353422232
Asia Pacific,,1985,319.709852828781
Asia Pacific,,1986,322.88546484879515
Asia Pacific,,1987,328.0604442410786
Asia Pacific,,1988,353.6690414147865
Asia Pacific,,1989,387.2186955724784
Asia Pacific,,1990,398.88303143387975
Asia Pacific,,1991,409.65308653145325
Asia Pacific,,1992,401.6886302495441
Asia Pacific,,1993,441.84145695242466
